prompt,completion,result
A breakfast joint makes two different sandwiches: a regular and a special. Both need eggs and bacon. Each regular sandwich requires 2 eggs and 3 slices of bacon. Each special sandwich requires 3 eggs and 5 slices of bacon. The joint has a total of 40 eggs and 70 slices of bacon. It makes a profit of 3 per regular sandwich and a profit of 4 per special sandwich. How many of each sandwich should be made to maximize profit?,"from pulp import *

# Define the LP maximization problem
prob = LpProblem(""Maximize_Profit"", LpMaximize)

# Define the decision variables
x = LpVariable('x', lowBound=0, cat='Integer')  # Number of regular sandwiches
y = LpVariable('y', lowBound=0, cat='Integer')  # Number of special sandwiches

# Objective function
prob += 3 * x + 4 * y, ""Total_Profit""

# Constraints
prob += 2 * x + 3 * y <= 40, ""EggsConstraint""
prob += 3 * x + 5 * y <= 70, ""BaconConstraint""

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",60
"A cleaning company located in Edmonton wants to get the best exposure possible for promoting their new dishwashing detergent without exceeding their 250,000 advertising budget. To do so, the company decides to spend their money on two forms of advertising: (1) radio ads and (2) social media ads. Each radio ad costs 5,000; each social media ad costs $9,150. The expected exposure, based on industry ratings, is 60,500 viewers for each radio ad. Additionally, the expected exposure for each social media ad is 50,000 viewers. The company decides that at least 15 but no more than 40 radio ads should be ordered, and that at least 35 social media ads should be contracted. How many ads of each type should be run to obtain maximum exposure while staying within the budget?","from pulp import *

# Define the LP maximization problem
prob = LpProblem(""Maximize_Exposure"", LpMaximize)

# Define the decision variables
x = LpVariable('x', lowBound=15, upBound=40, cat='Integer')  # Number of radio ads
y = LpVariable('y', lowBound=35, cat='Integer')             # Number of social media ads

# Objective function
prob += 60500 * x + 50000 * y, ""Total_Exposure""

# Constraints
prob += 5000 * x + 9150 * y <= 250000, ""BudgetConstraint""

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",None
"There is 1000 mg of gold available that is needed to make long and short cables. Long cables require 10 mg of gold while short cables require 7 mg of gold. Because of their compact size, at least 5 times the number of short cables are needed than the long cables. In addition, there needs to be at least 10 long cables made. If each long cable sold results in a 12 profit and each short cable sold results in a 5 profit, how many of each type of cable should be made to maximize profit?","#miss match
from pulp import *

# Create a LP problem
prob = LpProblem(""Maximize Profit"", LpMaximize)

# Create variables
x = LpVariable('x', lowBound=0, cat='Integer')  # Number of long cables
y = LpVariable('y', lowBound=0, cat='Integer')  # Number of short cables

# Objective function
prob += 12 * x + 5 * y, ""Total Profit""

# Constraints
prob += 10 * x + 7 * y <= 1000, ""Total gold constraint""
prob += y >= 5 * x, ""Short cables requirement""
prob += x >= 10, ""Minimum long cables""

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",819
"A store employs senior citizens who earn 500 per week and young adults who earn 750 per week. The store must keep the weekly wage bill below 30000. On any day, the store requires at least 50 workers, of whom at least 10 must be young adults. To ensure the store runs smoothly, the number of young adults should be at least a third the number of senior citizens. Formulate a LP to minimize the wage bill.","#miss match
from pulp import *

# Create a LP problem
prob = LpProblem(""Minimize Wage Bill"", LpMinimize)

# Create variables
x = LpVariable('x', lowBound=0, cat='Integer')  # Number of senior citizens
y = LpVariable('y', lowBound=0, cat='Integer')  # Number of young adults

# Objective function
prob += 500 * x + 750 * y, ""Total Wage Bill""

# Constraints
prob += 500 * x + 750 * y <= 30000, ""Weekly wage bill constraint""
prob += x + y >= 50, ""Minimum number of workers""
prob += y >= 10, ""Minimum number of young adults""
prob += y >= (1/3) * x, ""Ratio of young adults to senior citizens""

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",None
"A company is deciding where to promote their product. Some options include z-tube, soorchle engine, and wassa advertisements. The cost for each option and the number of viewers they each attract is given. On z-tube, each ad costs 1000 and attracts 400,000 viewers. On soorchle, each ad costs 200 and attracts 5,000 viewers. On wassa, each ad costs 100 and attracts 3,000 viewers. Soorchle limits the number of advertisements from a single company to fifteen. Moreover, in order to balance the advertising among the three types of media, at most a third of the total number of advertisements should occur on wassa. And at least 5% should occur on z-tube. The weekly advertising budget is 10000. How many advertisements should be run in each of the three types of media to maximize the total audience?","from pulp import *

# Define the LP maximization problem
prob = LpProblem(""Maximize_Audience"", LpMaximize)

# Define the decision variables
x = LpVariable('x', lowBound=0, cat='Integer')  # Number of ads on z-tube
y = LpVariable('y', lowBound=0, upBound=15, cat='Integer')  # Number of ads on soorchle
z = LpVariable('z', lowBound=0, cat='Integer')  # Number of ads on wassa

# Objective function
prob += 400000 * x + 5000 * y + 3000 * z, ""Total_Audience""

# Constraints
prob += 1000 * x + 200 * y + 100 * z <= 10000, ""BudgetConstraint""
prob += x >= 0.05 * (x + y + z), ""Min_ZTubeConstraint""
prob += z <= 1/3 * (x + y + z), ""Max_WassaConstraint""

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",4000000
"A chair produced by Elm Furniture yields a profit of 43, while every dresser yields a 52 profit. Each week, 17 gallons of stain and 11 lengths of oak wood are available. Each chair requires 1.4 gallons of stain and 2 lengths of oak wood, while each dresser requires 1.1 gallons of stain and 3 lengths of oak wood. Determine the maximum profit.","from pulp import *

# Define the LP maximization problem
prob = LpProblem(""Maximize_Profit"", LpMaximize)

# Define the decision variables
x = LpVariable('x', lowBound=0, cat='Integer')  # Number of chairs
y = LpVariable('y', lowBound=0, cat='Integer')  # Number of dressers

# Objective function
prob += 43 * x + 52 * y, ""Total_Profit""

# Constraints
prob += 1.4 * x + 1.1 * y <= 17, ""Stain_Constraint""
prob += 2 * x + 3 * y <= 11, ""Oak_Wood_Constraint""

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",224
"A farmer wants to mix his animal feeds, Feed A and Feed B, in such a way that the mixture will contain a minimum of 30 units of protein and 50 units of fat. Feed A costs 100 per kilogram and contains 10 units of protein and 8 units of fat. Feed B costs 80 per kilogram and contains 7 units of protein and 15 units of fat. Determine the minimum cost of the mixture.","from pulp import *

# Define the LP minimization problem
prob = LpProblem(""Minimize_Cost"", LpMinimize)

# Define the decision variables
x = LpVariable('x', lowBound=0, cat='Continuous')  # Kilograms of Feed A
y = LpVariable('y', lowBound=0, cat='Continuous')  # Kilograms of Feed B

# Objective function
prob += 100 * x + 80 * y, ""Total_Cost""

# Constraints
prob += 10 * x + 7 * y >= 30, ""Protein_Constraint""
prob += 8 * x + 15 * y >= 50, ""Fat_Constraint""

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",327.659572
"An artisan makes two types of terracotta jars: a thin jar and a stubby jar. Each thin jar requires 50 minutes of shaping time and 90 minutes of baking time. Each stubby jar requires 30 minutes of shaping time and 150 minutes of baking time. Per week, there are 3000 minutes available for shaping and 4000 minutes available for baking. The profit per thin jar is 5 and the profit per stubby jar is 9. How many jars of each type should the artisan make to maximize profit?","from pulp import *

# Define the LP maximization problem
prob = LpProblem(""Maximize_Profit"", LpMaximize)

# Define the decision variables
x = LpVariable('x', lowBound=0, cat='Integer')  # Number of thin jars
y = LpVariable('y', lowBound=0, cat='Integer')  # Number of stubby jars

# Objective function
prob += 5 * x + 9 * y, ""Total_Profit""

# Constraints
prob += 50 * x + 30 * y <= 3000, ""Shaping_Time_Constraint""
prob += 90 * x + 150 * y <= 4000, ""Baking_Time_Constraint""

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",239
"A grocery store wants to liquidate its stock of 10 apples, 20 bananas, and 80 grapes. Given past experience, the store knows that they can propose a banana-haters package with 6 apples and 30 grapes and that this package will bring a profit of six euros. Similarly, they can prepare a combo package with 5 apples, 6 bananas, and 20 grapes, yielding a profit of seven euros. They know they can sell any quantity of these two packages within the availability of its stock. What quantity of each package, banana-haters packages and combo packages, should the store prepare to maximize net profit?","from pulp import *

# Define the LP maximization problem
prob = LpProblem(""Maximize_Profit"", LpMaximize)

# Define the decision variables
x = LpVariable('x', lowBound=0, cat='Integer')  # Number of banana-haters packages
y = LpVariable('y', lowBound=0, cat='Integer')  # Number of combo packages

# Objective function
prob += 6 * x + 7 * y, ""Total_Profit""

# Constraints
prob += 6 * x + 5 * y <= 10, ""Apples_Constraint""
prob += 6 * y <= 20, ""Bananas_Constraint""
prob += 30 * x + 20 * y <= 80, ""Grapes_Constraint""

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",14
A bakery uses a stand-mixer and a slow bake oven to make bread and cookies. Each machine can run for at most 3000 hours per year. To bake a loaf of bread takes 1 hour in the stand mixer and 3 hours in the oven. A batch of cookies requires 0.5 hours in the mixer and 1 hour in the oven. The profit per loaf of bread is 5 and the profit per batch of cookies is 3. How should the bakery operate to maximize total profit?,"from pulp import *

# Define the LP maximization problem
prob = LpProblem(""Maximize_Profit"", LpMaximize)

# Define the decision variables
x = LpVariable('x', lowBound=0, cat='Continuous')  # Number of loaves of bread
y = LpVariable('y', lowBound=0, cat='Continuous')  # Number of batches of cookies

# Objective function
prob += 5 * x + 3 * y, ""Total_Profit""

# Constraints
prob += x + 0.5 * y <= 3000, ""StandMixer_Constraint""
prob += 3 * x + y <= 3000, ""Oven_Constraint""

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",9000
A glass factory makes two types of glass panes: a regular glass pane and a tempered glass pane. Both require time on a heating and cooling machine. Both machines are available for a maximum of 300 minutes per day. It takes 3 minutes in the heating machine and 5 minutes in the cooling machine to make one regular glass pane. It takes 5 minutes in the heating machine and 8 minutes in the cooling machine to make one tempered glass pane. The profit per pane of regular glass is 8 and the profit per pane of tempered glass is 10. How many panes of each glass type should the factory make to maximize profit? What is the maximum profit?,"#miss match
from pulp import *

# Create a LP problem
prob = LpProblem(""Maximize Profit"", LpMaximize)

# Create variables
x = LpVariable('x', lowBound=0, cat='Integer')  # Number of regular glass panes
y = LpVariable('y', lowBound=0, cat='Integer')  # Number of tempered glass panes

# Objective function
prob += 8 * x + 10 * y, ""Total Profit""

# Constraints
prob += 3 * x + 5 * y <= 300, ""Heating machine time constraint""
prob += 5 * x + 8 * y <= 300, ""Cooling machine time constraint""

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",480
"A souvenir shop makes wooden elephants and tigers with plastic ornaments. Each elephant requires 50 grams of wood and 20 grams of plastic. Each tiger requires 40 grams of wood and 30 grams of plastic. In a week, 5000 grams of wood and 4000 grams of plastic are available. The profit per elephant sold is 5 and the profit per tiger sold is 4. How many of each should be made in order to maximize profit?","from pulp import *

# Define the LP maximization problem
prob = LpProblem(""Maximize_Profit"", LpMaximize)

# Define the decision variables
x = LpVariable('x', lowBound=0, cat='Integer')  # Number of elephants
y = LpVariable('y', lowBound=0, cat='Integer')  # Number of tigers

# Objective function
prob += 5 * x + 4 * y, ""Total_Profit""

# Constraints
prob += 50 * x + 40 * y <= 5000, ""Wood_Constraint""
prob += 20 * x + 30 * y <= 4000, ""Plastic_Constraint""

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",500
"An art store makes large and small art pieces. The store has available 100 units of paint, 50 units of glitter, and 70 units of glue. To make a large art piece requires 4 units of paint, 3 units of glitter, and 5 units of glue. To make a small art piece requires 2 units of paint, 1 unit of glitter, and 2 units of glue. The store must make at least 5 units of each large and small art pieces. If the profit per large art piece is 30 and the profit per small art piece is 15, how many of each should be made to maximize profit?","from pulp import *

# Define the LP maximization problem
prob = LpProblem(""Maximize_Profit"", LpMaximize)

# Define the decision variables
x = LpVariable('x', lowBound=5, cat='Integer')  # Number of large art pieces
y = LpVariable('y', lowBound=5, cat='Integer')  # Number of small art pieces

# Objective function
prob += 30 * x + 15 * y, ""Total_Profit""

# Constraints
prob += 4 * x + 2 * y <= 100, ""Paint_Constraint""
prob += 3 * x + y <= 50, ""Glitter_Constraint""
prob += 5 * x + 2 * y <= 70, ""Glue_Constraint""

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",480
"My family has decided to invest in real state for the first time. Currently, they have 600,000 to invest, some in apartments and the rest in townhouses. The money invested in apartments must not be greater than 200,000. They have decided that the money invested in apartments must be at least a half as much as that in townhouses. If the apartments earn 10%, and the townhouses earn 15%, how much money should they invest in each to maximize profit?","from pulp import *

# Define the LP maximization problem
prob = LpProblem(""Maximize_Profit"", LpMaximize)

# Define the decision variables
x = LpVariable('x', lowBound=0, upBound=200000, cat='Continuous')  # Investment in apartments
y = LpVariable('y', lowBound=0, cat='Continuous')  # Investment in townhouses

# Objective function
prob += 0.10 * x + 0.15 * y, ""Total_Profit""

# Constraints
prob += x + y <= 600000, ""Total_Investment_Constraint""
prob += x >= 0.5 * y, ""Minimum_Apartment_Investment""
prob += x <= 200000, ""Maximum_Apartment_Investment""

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",80000
"My grandma is required to take two medicines Z1 and D3 everyday. She needs to take at least 5 grams of Z1 and 10 grams of D3 everyday. These medicines are available in two pills named Zodiac and Sunny. One pill of Zodiac contains 1.3 grams of Z1 while one pill of Sunny contains 1.2 grams of Z1. On the other hand, one pill of Zodiac contains 1.5 grams of D3 and one pill of Sunny contains 5 grams of D3. The cost per pill of Zodiac is 1 and the cost per pill of Sunny is 3. Formulate a LP such that the medicine requirement can be fulfilled at the lowest cost.","from pulp import *

# Define the LP minimization problem
prob = LpProblem(""Minimize_Cost"", LpMinimize)

# Define the decision variables
x = LpVariable('x', lowBound=0, cat='Integer')  # Pills of Zodiac
y = LpVariable('y', lowBound=0, cat='Integer')  # Pills of Sunny

# Objective function: minimize cost
prob += x + 3 * y, ""Total_Cost""

# Constraints
prob += 1.3 * x + 1.2 * y >= 5, ""Z1_Requirement""
prob += 1.5 * x + 5 * y >= 10, ""D3_Requirement""

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",7
"A hobbyist makes model trains and planes using wood and paint. A model train requires 3 units of wood and 3 units of paint. A model plane requires 4 units of wood and 2 units of paint. The hobbyist has available 120 units of wood and 90 units of paint. If the profit per model train is 8 and the profit per model plane is 10, how many of each should be made to maximize his profit?","from pulp import *

# Define the LP maximization problem
prob = LpProblem(""Maximize_Profit"", LpMaximize)

# Define the decision variables
x = LpVariable('x', lowBound=0, cat='Integer')  # Number of model trains
y = LpVariable('y', lowBound=0, cat='Integer')  # Number of model planes

# Objective function: maximize profit
prob += 8 * x + 10 * y, ""Total_Profit""

# Constraints
prob += 3 * x + 4 * y <= 120, ""Wood_Constraint""
prob += 3 * x + 2 * y <= 90, ""Paint_Constraint""

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",310
